direccion_normalizada,lat_orig,lon_orig,lat_snap,lon_snap,snap_dist_m,calle,highway_type,hgv_ok
CALLE DE ENRIQUE PRAT DE LA RIBA 15|08570|TORELLO,42.048603,2.264966,42.048603,2.264966,0.00,Carrer Enric Prat de la Riba,,1
CALLE DE LA BASSA S/N|08150|PARETS DEL VALLES,41.575294,2.249164,41.575509,2.249159,23.88,Carrer de Can Guasch,,1
CALLE DE LA FABRICA 26|08187|SANTA EULALIA DE RONCANA,41.651916,2.218326,41.651916,2.218326,0.00,Carrer de la Vinya,,1
CALLE DEL CASAL 1|08415|BIGUES I RIELLS,41.674435,2.209821,41.674435,2.209821,0.00,Carrer del Casal,,1
CALLE DOCTOR BAYES 2|08551|TONA,41.856119,2.229690,41.856119,2.229691,0.08,Carrer del Doctor Bayés,,1
CALLE DOCTOR FLEMING 6|08185|LLICA DE VALL,41.581435,2.222220,41.581435,2.222220,0.00,Carrer del Doctor Fleming,,1
CALLE DOCTOR JUNYENT 10|08500|VIC,41.928238,2.250754,41.928238,2.250754,0.00,Carrer del Doctor Junyent,,1
CALLE DOCTOR JUNYENT S/N|08500|VIC,41.928238,2.250754,41.928238,2.250754,0.00,Carrer del Doctor Junyent,,1
CALLE DON BLANCA 114|08560|MANLLEU,42.005404,2.277775,42.005405,2.277774,0.14,Carrer Doña Blanca,,1
CALLE DUES SOLES 8|08500|VIC,41.929342,2.258170,41.929388,2.258143,5.58,Carrer de Dues Soles,,1
CALLE EIX ONZE DE SETEMBRE 11|08500|VIC,41.918332,2.247915,41.918332,2.247916,0.08,Carrer Eix Onze de Setembre,,1
CALLE EIX ONZE DE SETEMBRE 29|08500|VIC,41.918332,2.247915,41.918332,2.247916,0.08,Carrer Eix Onze de Setembre,,1
CALLE EL CANIGO 68|08570|TORELLO,42.050770,2.256546,42.050770,2.256546,0.00,Carrer del Canigó,,1
CALLE ELS ESTUDIS 13|08570|TORELLO,42.047974,2.265782,42.047974,2.265782,0.00,Carrer dels Estudis,,1
CALLE ELS PIRINEUS 21|08503|GURB,41.943004,2.247379,41.943004,2.247379,0.00,Carrer del Pirineu,,1
CALLE EMILI BOTEY ALSINA 24|08402|GRANOLLERS,41.597535,2.288429,41.597535,2.288429,0.00,Carrer d'Emili Botey Alsina,,1
